"Player","Rating","Rnk"
"Silva Cerda,Mark Valentin",3.13318485449514,1
"Minguell Soler,Joan",2.45516020737319,2
"Serrano Batova,Vicent",2.32182273679139,3
"Sole Pijuan,Ferran",2.31506675520015,4
"Namay Caceres,S",2.23884828925292,5
"Dubov,Daniil",2.17620336681013,6
"Sriniaiyer,Sudarshan",2.1530660498153,7
"Lyu,Taifeng (Matt)",2.08881994094698,8
"Destic,Elena",2.04750439389171,9
"Zhang,Hongya",1.98858808663557,10
"Aryan,C",1.94855491849367,11
"Carlsen,M",1.93910290276979,12
"Medghoul,S",1.92733128026254,13
"Stearman,Josiah",1.92198605582334,14
"Berro,Mahdi",1.90039695304337,15
"Nesterov,Arseniy",1.89205380115477,16
"Edwardss,Dylan",1.87768923910852,17
"Zwirs,Nico",1.87768923910818,18
"Valiyev,Shahin",1.80255558973188,19
"Maslovskiy,Vladimir",1.78387525114148,20
"Rostovtsev,Dmitry",1.78387525114147,21
"Stopa,Ja",1.78072563253154,22
"Garrido Fernandez,Dan",1.76884872633799,23
"Sankalp,Gupta",1.76565319684919,24
"Wang,Tianqi",1.75678109637238,25
"Cervello Tost,Ferran",1.75633350140329,26
"Abdusattorov,Nodirbek",1.72417380930382,27
"Peng,Zihao",1.72382819993411,28
"Fedoseev,Vl3",1.7130346086569,29
"Gurevich,M",1.70353906324474,30
"Parkhov,Yair",1.7019347708511,31
"Goutham Krishna H",1.69298690150591,32
"Firouzja,Alireza",1.69119455414646,33
"Utegaliyev,A",1.68894339356675,34
"Sari,Yasin",1.67318390947874,35
"Vuckovic,Zarko",1.67083294224643,36
"Chang,Ethan",1.668908781954,37
"Xu,Yinglun",1.65201595740927,38
"Panda,Vedic",1.64287854738065,39
"Moya Arau,C",1.63881304106476,40
"Munoz Cuesta,E",1.62257161932083,41
"Nakamura,Hi",1.62096395710015,42
"Daurimbetov,A",1.61778735833122,43
"Woodward,Andy",1.60701056182204,44
"Wei Yi",1.58902732825093,45
"Niemann,Hans Moke",1.58850267859262,46
"Stupak,K",1.58387525114149,47
"Gorovets,A",1.58387525114148,48
"Aronian,L",1.57721614161963,49
"Talwalkar,Vedant",1.57300090413654,50
"Erigaisi,Arjun",1.5726104051846,51
"Manon,Reja Neer",1.55602909210601,52
"Puranik,A",1.55441201875746,53
"Wolanski,M",1.54867388416445,54
"Shyam,SM",1.54686517920023,55
"Kahlert,T",1.52391893827069,56
