"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"Superbet POL Blitz 2025",2025-04-29,"Gavrilescu,David","Aravindh,Chithambaram VR.","1/2-1/2",2554,2749
"Superbet POL Blitz 2025",2025-04-29,"Deac,Bogdan-Daniel","Praggnanandhaa,R","1-0",2668,2758
"Superbet POL Blitz 2025",2025-04-29,"Aronian,L","Topalov,V","1-0",2747,2717
"Superbet POL Blitz 2025",2025-04-29,"Firouzja,Alireza","Duda,J","0-1",2757,2739
"Superbet POL Blitz 2025",2025-04-29,"Vachier Lagrave,M","Fedoseev,Vl3","0-1",2722,2739
"Superbet POL Blitz 2025",2025-04-29,"Praggnanandhaa,R","Aronian,L","0-1",2758,2747
"Superbet POL Blitz 2025",2025-04-29,"Topalov,V","Firouzja,Alireza","1-0",2717,2757
"Superbet POL Blitz 2025",2025-04-29,"Aravindh,Chithambaram VR.","Fedoseev,Vl3","0-1",2749,2739
"Superbet POL Blitz 2025",2025-04-29,"Gavrilescu,David","Deac,Bogdan-Daniel","1/2-1/2",2554,2668
"Superbet POL Blitz 2025",2025-04-29,"Duda,J","Vachier Lagrave,M","1-0",2739,2722
"Superbet POL Blitz 2025",2025-04-29,"Vachier Lagrave,M","Topalov,V","1-0",2722,2717
"Superbet POL Blitz 2025",2025-04-29,"Fedoseev,Vl3","Duda,J","1-0",2739,2739
"Superbet POL Blitz 2025",2025-04-29,"Firouzja,Alireza","Praggnanandhaa,R","0-1",2757,2758
"Superbet POL Blitz 2025",2025-04-29,"Aronian,L","Gavrilescu,David","1-0",2747,2554
"Superbet POL Blitz 2025",2025-04-29,"Deac,Bogdan-Daniel","Aravindh,Chithambaram VR.","0-1",2668,2749
"Superbet POL Blitz 2025",2025-04-29,"Aravindh,Chithambaram VR.","Duda,J","1-0",2749,2739
"Superbet POL Blitz 2025",2025-04-29,"Deac,Bogdan-Daniel","Aronian,L","1-0",2668,2747
"Superbet POL Blitz 2025",2025-04-29,"Topalov,V","Fedoseev,Vl3","0-1",2717,2739
"Superbet POL Blitz 2025",2025-04-29,"Praggnanandhaa,R","Vachier Lagrave,M","1-0",2758,2722
"Superbet POL Blitz 2025",2025-04-29,"Gavrilescu,David","Firouzja,Alireza","0-1",2554,2757
"Superbet POL Blitz 2025",2025-04-29,"Firouzja,Alireza","Deac,Bogdan-Daniel","1/2-1/2",2757,2668
"Superbet POL Blitz 2025",2025-04-29,"Fedoseev,Vl3","Praggnanandhaa,R","1/2-1/2",2739,2758
"Superbet POL Blitz 2025",2025-04-29,"Vachier Lagrave,M","Gavrilescu,David","1-0",2722,2554
"Superbet POL Blitz 2025",2025-04-29,"Duda,J","Topalov,V","0-1",2739,2717
"Superbet POL Blitz 2025",2025-04-29,"Aronian,L","Aravindh,Chithambaram VR.","1/2-1/2",2747,2749
"Superbet POL Blitz 2025",2025-04-29,"Gavrilescu,David","Fedoseev,Vl3","0-1",2554,2739
"Superbet POL Blitz 2025",2025-04-29,"Aronian,L","Firouzja,Alireza","1-0",2747,2757
"Superbet POL Blitz 2025",2025-04-29,"Deac,Bogdan-Daniel","Vachier Lagrave,M","0-1",2668,2722
"Superbet POL Blitz 2025",2025-04-29,"Aravindh,Chithambaram VR.","Topalov,V","0-1",2749,2717
"Superbet POL Blitz 2025",2025-04-29,"Praggnanandhaa,R","Duda,J","0-1",2758,2739
"Superbet POL Blitz 2025",2025-04-29,"Fedoseev,Vl3","Deac,Bogdan-Daniel","1-0",2739,2668
"Superbet POL Blitz 2025",2025-04-29,"Duda,J","Gavrilescu,David","1-0",2739,2554
"Superbet POL Blitz 2025",2025-04-29,"Firouzja,Alireza","Aravindh,Chithambaram VR.","1-0",2757,2749
"Superbet POL Blitz 2025",2025-04-29,"Vachier Lagrave,M","Aronian,L","1-0",2722,2747
"Superbet POL Blitz 2025",2025-04-29,"Topalov,V","Praggnanandhaa,R","0-1",2717,2758
"Superbet POL Blitz 2025",2025-04-29,"Firouzja,Alireza","Vachier Lagrave,M","0-1",2757,2722
"Superbet POL Blitz 2025",2025-04-29,"Gavrilescu,David","Topalov,V","1-0",2554,2717
"Superbet POL Blitz 2025",2025-04-29,"Deac,Bogdan-Daniel","Duda,J","1-0",2668,2739
"Superbet POL Blitz 2025",2025-04-29,"Aravindh,Chithambaram VR.","Praggnanandhaa,R","0-1",2749,2758
"Superbet POL Blitz 2025",2025-04-29,"Aronian,L","Fedoseev,Vl3","0-1",2747,2739
"Superbet POL Blitz 2025",2025-04-29,"Duda,J","Aronian,L","1-0",2739,2747
"Superbet POL Blitz 2025",2025-04-29,"Vachier Lagrave,M","Aravindh,Chithambaram VR.","1/2-1/2",2722,2749
"Superbet POL Blitz 2025",2025-04-29,"Praggnanandhaa,R","Gavrilescu,David","1-0",2758,2554
"Superbet POL Blitz 2025",2025-04-29,"Fedoseev,Vl3","Firouzja,Alireza","1/2-1/2",2739,2757
"Superbet POL Blitz 2025",2025-04-29,"Topalov,V","Deac,Bogdan-Daniel","0-1",2717,2668
"Superbet POL Blitz 2025",2025-04-30,"Aravindh,Chithambaram VR.","Gavrilescu,David","1/2-1/2",2749,2554
