"Event","Date","White","Black","Result","WhiteElo","BlackElo"
"5th Cairns Cup 2025",2025-06-16,"Tan,Zhongyi","Yip,Carissa","0-1",2546,2431
"5th Cairns Cup 2025",2025-06-16,"Assaubayeva,Bibisara","Lee,Alice","1-0",2509,2389
"5th Cairns Cup 2025",2025-06-16,"Koneru,H","Dronavalli,Harika","1-0",2543,2483
"5th Cairns Cup 2025",2025-06-16,"Kashlinskaya,A","Muzychuk,M","1-0",2459,2492
"5th Cairns Cup 2025",2025-06-16,"Dzagnidze,N","Batsiashvili,N","1-0",2505,2462
"5th Cairns Cup 2025",2025-06-17,"Yip,Carissa","Koneru,H","1-0",2431,2543
"5th Cairns Cup 2025",2025-06-17,"Batsiashvili,N","Tan,Zhongyi","1/2-1/2",2462,2546
"5th Cairns Cup 2025",2025-06-17,"Lee,Alice","Kashlinskaya,A","1-0",2389,2459
"5th Cairns Cup 2025",2025-06-17,"Dronavalli,Harika","Assaubayeva,Bibisara","1/2-1/2",2483,2509
"5th Cairns Cup 2025",2025-06-17,"Muzychuk,M","Dzagnidze,N","1/2-1/2",2492,2505
"5th Cairns Cup 2025",2025-06-18,"Lee,Alice","Dronavalli,Harika","1/2-1/2",2389,2483
"5th Cairns Cup 2025",2025-06-18,"Tan,Zhongyi","Muzychuk,M","1/2-1/2",2546,2492
"5th Cairns Cup 2025",2025-06-18,"Koneru,H","Batsiashvili,N","0-1",2543,2462
"5th Cairns Cup 2025",2025-06-18,"Kashlinskaya,A","Dzagnidze,N","0-1",2459,2505
"5th Cairns Cup 2025",2025-06-18,"Assaubayeva,Bibisara","Yip,Carissa","0-1",2509,2431
"5th Cairns Cup 2025",2025-06-19,"Batsiashvili,N","Assaubayeva,Bibisara","0-1",2462,2509
"5th Cairns Cup 2025",2025-06-19,"Dronavalli,Harika","Kashlinskaya,A","1/2-1/2",2483,2459
"5th Cairns Cup 2025",2025-06-19,"Yip,Carissa","Lee,Alice","1/2-1/2",2431,2389
"5th Cairns Cup 2025",2025-06-19,"Dzagnidze,N","Tan,Zhongyi","1/2-1/2",2505,2546
"5th Cairns Cup 2025",2025-06-19,"Muzychuk,M","Koneru,H","1-0",2492,2543
"2nd UzChess Cup Masters",2025-06-19,"Aravindh,Chithambaram VR.","Praggnanandhaa,R","1/2-1/2",2749,2767
"2nd UzChess Cup Masters",2025-06-19,"Yakubboev,Nodirbek","Erigaisi,Arjun","0-1",2659,2782
"2nd UzChess Cup Masters",2025-06-19,"Maghsoodloo,Parham","Rapport,R","1/2-1/2",2691,2714
"2nd UzChess Cup Masters",2025-06-19,"Nepomniachtchi,I","Sindarov,Javokhir","0-1",2757,2710
"2nd UzChess Cup Masters",2025-06-19,"Abdusattorov,Nodirbek","Vokhidov,Shamsiddin","1-0",2767,2644
"2nd UzChess Cup Masters",2025-06-20,"Praggnanandhaa,R","Vokhidov,Shamsiddin","1-0",2767,2644
"2nd UzChess Cup Masters",2025-06-20,"Sindarov,Javokhir","Abdusattorov,Nodirbek","1/2-1/2",2710,2767
"2nd UzChess Cup Masters",2025-06-20,"Rapport,R","Nepomniachtchi,I","1/2-1/2",2714,2757
"2nd UzChess Cup Masters",2025-06-20,"Erigaisi,Arjun","Maghsoodloo,Parham","1/2-1/2",2782,2691
"2nd UzChess Cup Masters",2025-06-20,"Aravindh,Chithambaram VR.","Yakubboev,Nodirbek","0-1",2749,2659
"2nd UzChess Cup Masters",2025-06-21,"Yakubboev,Nodirbek","Praggnanandhaa,R","1/2-1/2",2659,2767
"2nd UzChess Cup Masters",2025-06-21,"Maghsoodloo,Parham","Aravindh,Chithambaram VR.","1/2-1/2",2691,2749
"2nd UzChess Cup Masters",2025-06-21,"Nepomniachtchi,I","Erigaisi,Arjun","1/2-1/2",2757,2782
"2nd UzChess Cup Masters",2025-06-21,"Abdusattorov,Nodirbek","Rapport,R","1-0",2767,2714
"2nd UzChess Cup Masters",2025-06-21,"Vokhidov,Shamsiddin","Sindarov,Javokhir","1/2-1/2",2644,2710
"2nd UzChess Cup Masters",2025-06-22,"Praggnanandhaa,R","Sindarov,Javokhir","1-0",2767,2710
"2nd UzChess Cup Masters",2025-06-22,"Rapport,R","Vokhidov,Shamsiddin","1/2-1/2",2714,2644
"2nd UzChess Cup Masters",2025-06-22,"Erigaisi,Arjun","Abdusattorov,Nodirbek","1/2-1/2",2782,2767
"2nd UzChess Cup Masters",2025-06-22,"Aravindh,Chithambaram VR.","Nepomniachtchi,I","1/2-1/2",2749,2757
"2nd UzChess Cup Masters",2025-06-22,"Yakubboev,Nodirbek","Maghsoodloo,Parham","0-1",2659,2691
"2nd UzChess Cup Masters",2025-06-23,"Maghsoodloo,Parham","Praggnanandhaa,R","1-0",2691,2767
"2nd UzChess Cup Masters",2025-06-23,"Nepomniachtchi,I","Yakubboev,Nodirbek","1/2-1/2",2757,2659
"2nd UzChess Cup Masters",2025-06-23,"Abdusattorov,Nodirbek","Aravindh,Chithambaram VR.","1-0",2767,2749
"2nd UzChess Cup Masters",2025-06-23,"Vokhidov,Shamsiddin","Erigaisi,Arjun","0-1",2644,2782
"2nd UzChess Cup Masters",2025-06-23,"Sindarov,Javokhir","Rapport,R","1-0",2710,2714
"UzChess Cup Challengers",2025-06-19,"Theodorou,Nikolas","Hong,Andrew","1/2-1/2",2613,2589
"UzChess Cup Challengers",2025-06-19,"Suyarov,Mukhammadzokhid","Ma Qun","1/2-1/2",2490,2630
"UzChess Cup Challengers",2025-06-19,"Sivuk,V","Ivanchuk,V","1-0",2522,2634
"UzChess Cup Challengers",2025-06-19,"Madaminov,Mukhiddin","Abasov,N","1-0",2536,2594
"UzChess Cup Challengers",2025-06-19,"Tokhirjonova,Gulrukhbegim","Vakhidov,J","1/2-1/2",2370,2539
"UzChess Cup Challengers",2025-06-20,"Hong,Andrew","Vakhidov,J","1-0",2589,2539
"UzChess Cup Challengers",2025-06-20,"Abasov,N","Tokhirjonova,Gulrukhbegim","1-0",2594,2370
"UzChess Cup Challengers",2025-06-20,"Ivanchuk,V","Madaminov,Mukhiddin","1/2-1/2",2634,2536
"UzChess Cup Challengers",2025-06-20,"Ma Qun","Sivuk,V","1/2-1/2",2630,2522
"UzChess Cup Challengers",2025-06-20,"Theodorou,Nikolas","Suyarov,Mukhammadzokhid","1-0",2613,2490
"UzChess Cup Challengers",2025-06-21,"Suyarov,Mukhammadzokhid","Hong,Andrew","0-1",2490,2589
"UzChess Cup Challengers",2025-06-21,"Sivuk,V","Theodorou,Nikolas","0-1",2522,2613
"UzChess Cup Challengers",2025-06-21,"Madaminov,Mukhiddin","Ma Qun","1-0",2536,2630
"UzChess Cup Challengers",2025-06-21,"Tokhirjonova,Gulrukhbegim","Ivanchuk,V","0-1",2370,2634
