"Player","Rating","Rnk"
"Raats,Joppe",2.18279557410936,1
"Rychagov,A",2.11256549853163,2
"Sosa,T ARG",1.96186412295656,3
"Berro,Mahdi",1.89482264998875,4
"Nazari,Arad",1.89221724747561,5
"Vastrukhin,O",1.85666814302366,6
"Medghoul,S",1.8425791683342,7
"Teigset,Markus",1.82349446303452,8
"Daskalov,D",1.79975263913913,9
"Koulouris,Evangelos",1.79975263913913,10
"Martinez De Soria Gordon,Jose Manuel",1.79719931873496,11
"Carlsen,M",1.74537625945045,12
"The World",1.74537625945044,13
"Fedoseev,Vl3",1.74309170185648,14
"Danoyan,Konstantin",1.73061444480716,15
"Vairaj Sogerwal",1.72413239348556,16
"Sandalakis,A",1.69436964228495,17
"Bokorovics,Bertalan",1.67304876801532,18
"Iermito,S",1.6091342313449,19
"Nakamura,Hi",1.59537521891508,20
"Argiroudis,S",1.57535276320671,21
"Van Delft,M",1.56383310904487,22
"Kockum,A",1.56315417716347,23
"Vachier Lagrave,M",1.55378333962757,24
"Aggelis,N",1.53886055174563,25
"Abdusattorov,Nodirbek",1.52426432452659,26
"Firouzja,Alireza",1.51305745413265,27
"Yeshas H",1.50741592082441,28
"Lazavik,Denis",1.50582241181397,29
"Niemann,Hans Moke",1.50428036573548,30
"Yoo,Christopher Woojin",1.50333484187016,31
"Woodward,Andy",1.49967178475207,32
"Aronian,L",1.49429714796706,33
"Gloser,David",1.49345978929191,34
"Hurdzan,Tomas",1.49345978929191,35
"Andreikin,D",1.49031964752009,36
"Suliborski,J",1.49030388502939,37
"Stojanovic,Mih",1.48131297964719,38
"Sindarov,Javokhir",1.47268757392367,39
"Turdyev,A",1.47073027598767,40
"Erigaisi,Arjun",1.45156649002657,41
"Praggnanandhaa,R",1.45087477482509,42
"Corbu,George-Alexandru",1.44976533596015,43
"Anand,V",1.44516105833794,44
"Saniya Rafique Tadavi",1.43929582874788,45
"Kazhgaleyev,M",1.43884273383569,46
"Giri,A",1.43771703233233,47
"Artemiev,V",1.43099921383869,48
"Nepomniachtchi,I",1.42652404724413,49
"Caruana,F",1.42575623474884,50
"Zander,Emil",1.42073563657739,51
"So,W",1.41537145820429,52
"Depau,Alessandro",1.41527242225547,53
"Wei Yi",1.41485228313621,54
"Ardu,Luigi",1.41085332436686,55
"Sipos,Stefania",1.40812270430272,56
"Dubov,Daniil",1.40806752585672,57
"Ratajczak,Hubert",1.40561288786382,58
"Mastrovasilis,D",1.39071219719718,59
"Allard,T",1.39033684397111,60
"Preotu,Razvan",1.38657517085806,61
"Nihal,Sarin",1.38634635500351,62
"Aryan,C",1.37692683252281,63
"Jepson,C",1.37510063441948,64
"Grachev,B",1.37469406075969,65
"Duda,J",1.37378972433053,66
"Hammer,J",1.35898663849567,67
"Ponkratov,P",1.35833320194262,68
"Prohaszka,P2",1.35596582395236,69
"Xiong,Jeffery",1.35301998637437,70
"Van Foreest,Jorden",1.35224670477129,71
"Maghsoodloo,Parham",1.34966661814357,72
"Rapport,R",1.34526078034788,73
"Le,Quang Liem",1.34401634176409,74
"Guseinov,G",1.3421141758302,75
"Gukesh,D",1.34011450798862,76
"Sarana,A",1.33333378357736,77
"Sevian,Samuel",1.33143645768138,78
"Keymer,Vincent",1.32122234501923,79
"Pranav,V",1.32066736340584,80
"Barbu,Simon-Alexandru",1.31954750539328,81
"Mantovani,R",1.31848915331968,82
"Moor,R",1.31848915331968,83
"Lalith,B",1.31741637666703,84
"Indjic,A",1.31476758301624,85
"Movahed,Sina",1.31157510454408,86
"Perucki,Maciej",1.31005234754373,87
"Yu Yangyi",1.30955912469408,88
"Chang,Ethan",1.30870801071776,89
"Erdogmus,Yagiz Kaan",1.30719044242518,90
"Murzin,Volodar",1.30418139689622,91
"Pranesh,M",1.30032669705553,92
"Drozdowski,K",1.29708968120975,93
"Khanin,S",1.29707586030717,94
"Brodsky,David",1.29665238177634,95
"Yakovenko,Artem",1.29665075243089,96
"Xue,Haowen",1.29557436027446,97
"Gurel,Ediz",1.29428388343462,98
"Wang Hao",1.29375760180557,99
"Kasioumis,Vasilios",1.29030825631143,100
"Popov,Val",1.2880679533115,101
"Matlakov,M",1.2880679533115,102
"Adly,A",1.28602435572292,103
"Mishra,Abhimanyu",1.28510013362029,104
"Zemlyanskii,Ivan",1.28483549649225,105
"Sargsyan,Shant",1.28426228746578,106
"Ivic,Velimir",1.28160582471755,107
"Salem,AR",1.27996985692943,108
"Tsydypov,Z",1.26995163835458,109
