"Rnk","Player","Mean_Rating"
1,"Nakamura,Hi",1.20213846406044
2,"Carlsen,M",1.18478590972613
3,"Firouzja,Alireza",1.09217846178179
4,"Fedoseev,Vl3",1.0738688880767
5,"Niemann,Hans Moke",1.07096270191299
6,"Andreikin,D",1.04894017914751
7,"Lazavik,Denis",1.028900711337
8,"Nihal,Sarin",1.01992015430105
9,"Vachier Lagrave,M",1.0040476071017
10,"Maghsoodloo,Parham",1.00044216708905
11,"Aronian,L",0.994274575939986
12,"Xiong,Jeffery",0.978513759679828
13,"Abdusattorov,Nodirbek",0.965848263553292
14,"Sarana,A",0.958324685584671
15,"So,W",0.952942621000855
16,"Pranav,V",0.952704114256305
17,"Sindarov,Javokhir",0.949591599405482
18,"Erigaisi,Arjun",0.942258358192917
19,"Erdogmus,Yagiz Kaan",0.933040183135365
20,"Giri,A",0.932319917732061
21,"Nepomniachtchi,I",0.928167388670758
22,"Caruana,F",0.923207880898303
23,"Movahed,Sina",0.918780109055078
24,"Esipenko,Andrey",0.906805431945832
25,"Naroditsky,D",0.906107367755571
26,"Woodward,Andy",0.900493650604408
27,"Le,Quang Liem",0.893939427819328
28,"Duda,J",0.888191687539873
29,"Praggnanandhaa,R",0.888160974825424
30,"Bortnyk,Olexandr",0.881212632227355
31,"Pranesh,M",0.878024618888534
32,"Van Foreest,Jorden",0.871490076794564
33,"Rasulov,Vu",0.865082780202697
34,"Xue,Haowen",0.862460236949124
35,"Gurel,Ediz",0.858365400755024
36,"Grandelius,N",0.855214616277248
37,"Sjugirov,S",0.844491348725426
38,"Indjic,A",0.840293158928011
39,"Deac,Bogdan-Daniel",0.836982852606752
40,"Keymer,Vincent",0.835352358695066
41,"Bluebaum,M",0.83469934004172
42,"Le Tuan Minh",0.834462465813197
43,"Sevian,Samuel",0.822629959081623
44,"Mishra,Abhimanyu",0.819317425296041
45,"Murzin,Volodar",0.818948225569937
46,"Artemiev,V",0.815126579440764
47,"Martinez Alcantara,Jose Eduardo",0.809991430861704
48,"Wei Yi",0.809675653109039
49,"Svane,R",0.808354137961097
50,"Shankland,S",0.807338679720408
51,"Anand,V",0.805473765592716
52,"Dubov,Daniil",0.805214531065636
53,"Tsydypov,Z",0.802665926404601
54,"Sargsyan,Shant",0.793571228148643
55,"Shimanov,A",0.79217076042616
56,"Yeletsky,Ivan",0.785807538257966
57,"Safarli,E",0.784183170552493
58,"Materia,Marco",0.781384861399063
59,"Gukesh,D",0.78077104561107
60,"Nguyen Ngoc Truong Son",0.778667533637252
61,"Ponkratov,P",0.776245455035063
62,"Salem,AR",0.774682681786097
63,"Bok,B",0.773927427406843
64,"Terry,R",0.770578148023136
65,"Drozdowski,K",0.769578209819747
66,"Hakobyan,Aram",0.764256653363007
67,"Theodorou,Nikolas",0.757460173837838
68,"Vokhidov,Shamsiddin",0.756730118305161
69,"Yu Yangyi",0.754935782882105
70,"Teclaf,Pawel",0.75175545745585
71,"Rapport,R",0.751071359679715
72,"Mamedyarov,S",0.750626857503712
73,"Karthikeyan,M2",0.750437477087642
74,"Aravindh,Chithambaram VR.",0.746997120407797
75,"Christiansen,Johan-Sebastian",0.745734095268477
76,"Vetokhin,Savva",0.74387883561821
77,"Zhigalko,S",0.738771454684653
78,"Korobov,A",0.737500774660347
79,"Adams,Mi",0.735068292111519
80,"Amar,Elham",0.733108410113395
81,"Yilmaz,M",0.732663256824194
82,"Durarbayli,Vasif",0.732511233535279
83,"Grischuk,A",0.732396224338432
84,"Mitrabha,G",0.731276260702997
85,"Jobava,Ba",0.730325300753181
86,"Svane,Frederik",0.728258027384271
87,"Pranav,Anand",0.72763936062422
88,"Kozak,Adam",0.726645145032169
89,"Vidit,S",0.724425414381884
90,"Puranik,A",0.718985023993971
91,"Donchenko,Alexa",0.718223437861026
92,"Eljanov,P",0.718169611204424
93,"Kollars,Dmitrij",0.712286770839475
94,"Moussard,J",0.712144008566176
95,"Dominguez Perez,L",0.71211939404399
96,"Vitiugov,N",0.710511380818885
97,"Oparin,G",0.707465920003575
98,"Kramnik,V",0.707462988417923
99,"Aryan,C",0.706207054040406
100,"Suleymanli,Aydin",0.704518360063934
101,"Oro,Faustino",0.702971280248907
102,"Ibrahimli,Murad",0.702522198545898
103,"Roshka,Yevgeniy",0.700468709737788
104,"Ratkovic,Milov",0.70005967602521
105,"Petrosyan,M",0.699850900600474
106,"Tabatabaei,M",0.699044485821123
107,"Mendonca,Leon Luke",0.698207423827238
108,"Mahdavi,Reza",0.693584355978826
109,"Wang Hao",0.693144406648238
110,"Nogerbek,Kazybek",0.691286438171046
111,"Koniahli,Malek",0.691270632784052
112,"Kasimdzhanov,R",0.690993534660307
113,"Sanal,V",0.68938722201948
114,"Sadhwani,Raunak",0.689236847664483
115,"Zhou Jianchao",0.688202498739558
116,"Piliposyan,Robert",0.687679907974252
117,"Tahbaz,Arash",0.687110195616626
118,"Wojtaszek,R",0.687007974764103
119,"Galchenko,Matvey",0.686979814776656
120,"Grebnev,Aleksey",0.686044734838629
121,"Paravyan,D",0.683421251659691
122,"Bharath,Subramaniyam H",0.683168214518022
123,"Muradli,Mahammad",0.679293924947835
124,"Samunenkov,Ihor",0.678639194714171
125,"Zemlyanskii,Ivan",0.678634294990078
126,"Ding Liren",0.676995312415468
127,"Kravtsiv,M",0.676001994802501
128,"Quparadze,G",0.675441506166304
129,"Moskalenko,A",0.675134175509606
130,"Yakubboev,Nodirbek",0.668674336023345
131,"Martirosyan,Haik M.",0.667393598613514
132,"Malakhov,V",0.666942169041768
133,"Santos Latasa,J",0.66661429224792
134,"Bernadskiy,V",0.66374606314786
135,"Dudin,Gleb",0.663133368544838
136,"Hansen,Eric",0.661396468103141
137,"Predke,A",0.660608369510708
138,"Makarian,Rudik",0.660604131634911
139,"Gumularz,Szymon",0.660517315950129
140,"Howell,D",0.660101143946782
141,"Avila Pavas,Santiago",0.657724279908311
142,"Onischuk,V",0.657591157914282
143,"Tang,Andrew",0.655175957425444
144,"Babazada,Khazar",0.654026770121786
145,"Warmerdam,Max",0.653178041015327
146,"Anton Guijarro,D",0.652976297819777
147,"Lalith,B",0.65037993002869
148,"Gledura,B",0.649779859717349
149,"Banh Gia Huy",0.6491782170988
150,"Iniyan,Pa",0.647143133174892
151,"Ivic,Velimir",0.646356610585918
152,"Stribuk,Artiom",0.64621527546159
153,"Yoo,Christopher Woojin",0.646080279711444
154,"Rustamov,Rustam",0.645874632423427
155,"Gloeckler,Christian",0.645004698596634
156,"Daneshvar,Bardiya",0.64456754432863
157,"Tari,A",0.643745311056434
158,"Jumabayev,R",0.642288372381668
159,"Galperin,Platon",0.639907933401271
160,"Mayank,Chakraborty",0.639654762150515
161,"Harikrishna,P",0.638962417559864
162,"Balog,I1",0.638552750245926
163,"Kilic,Eray",0.637465644208471
164,"Ahmad,Khagan",0.636532788119415
165,"Van Wely,L",0.635734063965293
166,"Gholami Orimi,Mahdi",0.635481287705156
167,"Chigaev,M",0.635080511959524
168,"Bjerre,Jonas Buhl",0.634565640330775
169,"Carlstedt,J",0.634000024203641
170,"Prohaszka,P2",0.633572674947446
171,"Iturrizaga Bonelli,Eduardo",0.633517333711116
172,"Alekseenko,K",0.633034003604181
173,"Gharibyan,Mamikon",0.632898086463673
174,"Nesterov,Arseniy",0.631593922347066
175,"Finek,Vaclav",0.631192598268462
176,"Khanin,S",0.629774902774265
177,"Petrov,N",0.629076903042347
178,"Kosakowski,Jakub",0.625423449040532
179,"Matlakov,M",0.624872142128683
180,"Quesada Perez,Ya",0.623977154558701
181,"Ter Sahakyan,S",0.622517941094773
182,"Atharvaa P Tayade",0.621475565682818
183,"Meier,Geo",0.619212310834904
184,"Panarin,M",0.619074555758278
185,"Quesada Perez,Luis Ernesto",0.619030135914004
186,"Brodsky,David",0.618653031268238
187,"Drygalov,Sergey",0.616977383665478
