"","Date","AwayTeam","AQ1","AQ2","AQ3","AQ4","AF","HomeTeam","HQ1","HQ2","HQ3","HQ4","HF","Diff","Year","Post_Season"
"1",1030,"Washington",24,15,23,22,84,"Cleveland",27,23,24,20,94,10,2013,0
"2",1030,"Boston",25,29,22,31,107,"Miami",31,31,31,27,120,13,2013,0
"3",1030,"Dallas",25,23,26,25,99,"LALakers",29,17,20,25,91,-8,2013,0
"4",1031,"Indiana",27,21,15,27,90,"Toronto",25,23,23,17,88,-2,2013,0
"5",1031,"Denver",22,16,14,23,75,"Philadelphia",25,21,19,19,84,9,2013,0
"6",1031,"Houston",27,28,17,33,105,"Detroit",22,36,23,15,96,-9,2013,0
"7",1031,"SanAntonio",28,15,28,28,99,"NewOrleans",31,19,21,24,95,-4,2013,0
"8",1031,"Sacramento",23,17,23,24,87,"Chicago",25,19,25,24,93,6,2013,0
"9",1031,"Dallas",26,37,13,18,94,"Utah",25,30,37,21,113,19,2013,0
"10",1031,"GoldenState",25,23,17,22,87,"Phoenix",21,21,25,18,85,-2,2013,0
"11",1031,"Memphis",24,29,24,15,92,"LAClippers",26,23,24,28,101,9,2013,0
"12",1031,"LALakers",26,31,19,30,106,"Portland",30,32,30,24,116,10,2013,0
"13",1101,"OklahomaCity",24,16,26,18,84,"SanAntonio",21,24,21,20,86,2,2013,0
"14",1102,"Indiana",20,23,27,19,89,"Charlotte",17,22,35,16,90,1,2013,0
"15",1102,"Denver",18,19,31,21,89,"Orlando",29,29,20,24,102,13,2013,0
"16",1102,"Houston",28,25,28,28,109,"Atlanta",21,23,30,28,102,-7,2013,0
"17",1102,"Milwaukee",25,21,30,23,99,"Boston",18,12,28,30,88,-11,2013,0
"18",1102,"Chicago",32,28,23,32,115,"Cleveland",16,19,21,30,86,-29,2013,0
"19",1102,"Utah",19,22,22,23,86,"NewOrleans",19,21,27,21,88,2,2013,0
"20",1102,"Sacramento",18,23,24,15,80,"Minnesota",28,22,20,22,92,12,2013,0
"21",1102,"Portland",21,21,24,26,92,"OklahomaCity",26,23,25,32,106,14,2013,0
"22",1102,"Miami",17,27,19,21,84,"NewYork",33,22,26,23,104,20,2013,0
"23",1102,"Detroit",28,18,17,26,89,"Phoenix",24,30,17,21,92,3,2013,0
"24",1102,"Memphis",28,23,24,29,104,"GoldenState",20,27,16,31,94,-10,2013,0
"25",1102,"LAClippers",28,24,30,23,105,"LALakers",23,24,20,28,95,-10,2013,0
"26",1103,"Boston",26,23,22,18,89,"Washington",12,30,25,19,86,-3,2013,0
"27",1103,"Sacramento",24,18,24,25,98,"Indiana",18,38,18,17,106,8,2013,0
"28",1103,"Denver",34,32,25,25,116,"Miami",35,29,23,32,119,3,2013,0
"29",1103,"Toronto",35,17,26,22,100,"Brooklyn",27,33,24,23,107,7,2013,0
"30",1103,"NewOrleans",21,25,20,23,89,"Chicago",18,26,16,22,82,-7,2013,0
"31",1103,"Portland",17,20,27,17,95,"Houston",19,26,18,18,85,-10,2013,0
"32",1103,"Charlotte",19,34,28,18,99,"Dallas",31,30,36,29,126,27,2013,0
"33",1103,"Utah",17,27,35,21,100,"SanAntonio",28,34,17,31,110,10,2013,0
"34",1103,"Cleveland",27,22,30,23,102,"Milwaukee",23,32,21,29,105,3,2013,0
