,ID,Date,Team,Home,PF,Opp,OHome,PA,Res,Mar
1,739487,20240824, Hawaii,1,35, Delaware_St,-1,14,1,21
3,739487,20240824, Florida_A&M,0,24, Norfolk_St,0,23,1,1
5,739487,20240824, Montana_St,-1,35, New_Mexico,1,31,1,4
7,739487,20240824, SMU,-1,29, Nevada,1,24,1,5
9,739487,20240824, Georgia_Tech,0,24, Florida_St,0,21,1,3
11,739487,20240824, Tarleton_St,1,26, McNeese_St,-1,23,1,3
13,739487,20240824, SE_Missouri_St,0,37, North_Alabama,0,15,1,22
15,739492,20240829, San_Jose_St,1,42, CS_Sacramento,-1,24,1,18
17,739492,20240829, UAB,1,41, Alcorn_St,-1,3,1,38
19,739492,20240829, Coastal_Car,-1,55, Jacksonville_St,1,27,1,28
21,739492,20240829, Toledo,1,49, Duquesne,-1,10,1,39
23,739492,20240829, Illinois,1,45, E_Illinois,-1,0,1,45
25,739492,20240829, E_Washington,1,42, Monmouth_NJ,-1,27,1,15
27,739492,20240829, Arkansas,0,70, Ark_Pine_Bluff,0,0,1,70
29,739492,20240829, ULM,1,30, Jackson_St,-1,14,1,16
31,739492,20240829, Kansas,1,48, Lindenwood,-1,3,1,45
33,739492,20240829, Mercer,1,63, Presbyterian,-1,10,1,53
35,739492,20240829, Missouri,1,51, Murray_St,-1,0,1,51
37,739492,20240829, Wake_Forest,1,45, NC_A&T,-1,13,1,32
39,739492,20240829, Colorado,1,31, N_Dakota_St,-1,26,1,5
41,739492,20240829, Tulsa,1,62, Northwestern_LA,-1,28,1,34
43,739492,20240829, Rutgers,1,44, Howard,-1,7,1,37
45,739492,20240829, Tulane,1,52, SE_Louisiana,-1,0,1,52
47,739492,20240829, Utah,1,49, Southern_Utah,-1,0,1,49
49,739492,20240829, Villanova,1,24, Youngstown_St,-1,17,1,7
51,739492,20240829, William_&_Mary,1,41, VMI,-1,7,1,34
53,739492,20240829, NC_State,1,38, W_Carolina,-1,21,1,17
55,739492,20240829, Wofford,-1,21, Gardner_Webb,1,20,1,1
57,739492,20240829, Buffalo,1,30, Lafayette,-1,13,1,17
59,739492,20240829, North_Carolina,-1,19, Minnesota,1,17,1,2
61,739492,20240829, UCF,1,57, New_Hampshire,-1,3,1,54
63,739492,20240829, Bowling_Green,1,41, Fordham,-1,17,1,24
65,739492,20240829, C_Michigan,1,66, Central_Conn,-1,10,1,56
67,739492,20240829, Delaware,1,48, Bryant,-1,17,1,31
69,739493,20240830, Duke,1,26, Elon,-1,3,1,23
71,739493,20240830, Michigan_St,1,16, FL_Atlantic,-1,10,1,6
73,739493,20240830, Maine,1,17, Colgate,-1,14,1,3
75,739493,20240830, TCU,-1,34, Stanford,1,27,1,7
77,739493,20240830, Wisconsin,1,28, W_Michigan,-1,14,1,14
79,739493,20240830, Army,1,42, Lehigh,-1,7,1,35
81,739493,20240830, Oklahoma,1,51, Temple,-1,3,1,48
83,739494,20240831, California,1,31, UC_Davis,-1,13,1,18
85,739494,20240831, Liberty,1,41, Campbell,-1,24,1,17
87,739494,20240831, SUNY_Albany,1,27, LIU_Post,-1,21,1,6
89,739494,20240831, Arkansas_St,1,34, Cent_Arkansas,-1,31,1,3
